NONYUHIBIN _role_class  パレット数  納入先数           納入先一覧  ローカル山数  Max移動工数  Min移動工数                          入車一覧
2026081901           1      3     1             KVC       2 313.7402 313.7400                   06:45/18:46
2026081902           1      4     1             KVC       1 346.5000 194.1301                         06:45
2026081903           1      4     1             KVC       2 313.7402 194.1301                   10:51/22:41
2026081904           1      4     1             KVC       2 313.7402 194.1301                   06:45/10:51
2026081905           1      4     1             KVC       2 313.7402 194.1301                   06:45/14:40
2026081906           1      3     1             KVC       1 313.7402 194.1301                         14:40
2026081907           1      1     1             KVC       1 313.7402 313.7402                         14:40
2026081908           1      1     1             KVC       1 313.7402 313.7402                         14:40
2026082001           1      4     1             KVC       1 346.5000 194.1301                         06:45
2026082002           1      2     1             KVC       1 313.7402 313.7402                   06:45/18:46
2026082003           1      4     1             KVC       2 313.7402 194.1301                   10:51/22:41
2026082004           1      4     1             KVC       2 313.7402 194.1301                   06:45/10:51
2026082005           1      4     1             KVC       2 313.7402 194.1301                         14:40
2026082006           1      5     1             KVC       2 346.5000 194.1301                   10:51/14:40
2026082007           1      1     1             KVC       1 313.7402 313.7402                         14:40
2026082101           1      3     1             KVC       1 313.7402 194.1301                   06:45/18:46
2026082102           1      3     1             KVC       1 313.7402 194.1302                   06:45/18:46
2026082103           1      3     1             KVC       1 313.7402 194.1301                         10:51
2026082104           1      4     1             KVC       2 313.7402 194.1301                   06:45/10:51
2026082105           1      5     1             KVC       2 346.5000 194.1301                   06:45/14:40
2026082106           1      4     1             KVC       2 313.7402 194.1301                   10:51/14:40
2026082108           1      1     1             KVC       1 313.7402 313.7402                         14:40
2026082401           1      7     2          KVC/元町       3 313.7402 168.3905             06:45/18:46/22:59
2026082402           1      4     2          KVC/元町       2 313.7402 168.3904                   06:45/07:28
2026082403           1      5     1             KVC       2 313.7402 194.1301                   10:51/22:41
2026082404           1      5     1             KVC       2 346.5000 194.1301                   06:45/10:51
2026082405           1      2     1             KVC       1 194.1302 194.1301                         14:40
2026082406           1      2     1             KVC       1 313.7402 313.7402                   10:51/14:40
2026082407           1      1     1             KVC       1 313.7402 313.7402                         14:40
2026082501           1      5     2          KVC/高岡       2 313.7402 194.1301             06:45/18:46/22:59
2026082502           1      8     2          KVC/高岡       3 313.7402 194.1301                   06:45/18:46
2026082503           1      7     2          KVC/高岡       2 346.5000 194.1301                   10:51/22:41
2026082504           1      5     2          KVC/高岡       2 313.7402 194.1301                   10:51/14:40
2026082505           1      4     1             KVC       2 313.7402 194.1301                   06:45/14:40
2026082506           1      3     1             KVC       1 313.7402 194.1302                   10:51/14:40
2026082508           1      1     1             KVC       1 313.7402 313.7402                         14:40
2026082601           1      6     2          KVC/高岡       2 313.7402 194.1301             06:45/18:46/22:59
2026082602           1      8     2          KVC/高岡       3 346.5000 194.1301                   06:45/18:46
2026082603           1      3     2          KVC/高岡       1 313.7402 194.1302                         10:51
2026082604           1     10     3       KVC/元町/高岡       3 313.7402 153.5400       06:45/10:51/14:40/17:18
2026082605           1      3     1             KVC       1 313.7402 194.1301                         14:40
2026082606           1      4     1             KVC       2 313.7402 194.1301                   10:51/14:40
2026082607           1      1     1             KVC       1 313.7402 313.7402                         14:40
2026082701           1      6     2          KVC/高岡       2 346.5000 194.1301             06:45/18:46/22:59
2026082702           1      7     3       KVC/元町/高岡       3 313.7402 168.3904             06:45/07:28/18:46
2026082703           1      9     3       KVC/元町/高岡       3 313.7402 194.1300             10:51/12:21/22:41
2026082704           1      3     3       KVC/元町/高岡       1 313.7401 153.5401             10:51/14:40/17:18
2026082705           1      4     1             KVC       2 313.7402 194.1301                   06:45/14:40
2026082706           1      6     1             KVC       2 346.5000 194.1301                   10:51/14:40
2026082707           1      1     1             KVC       1 313.7402 313.7402                         14:40
2026082801           1      7     2          KVC/高岡       2 313.7402 194.1301             06:45/18:46/22:59
2026082802           1      5     2          KVC/高岡       2 313.7402 194.1301                   06:45/18:46
2026082803           1      6     2          KVC/高岡       2 313.7402 194.1301                   10:51/22:41
2026082804           1      4     2          KVC/高岡       2 313.7402 194.1301                   10:51/14:40
2026082805           1      5     1             KVC       2 346.5000 194.1301                   06:45/14:40
2026082806           1      4     1             KVC       2 313.7402 194.1301                   10:51/14:40
2026082808           1      1     1             KVC       1 313.7402 313.7402                         14:40
2026083101           1      7     3       KVC/元町/高岡       3 313.7402 168.3905             06:45/18:46/22:59
2026083102           1      3     2          KVC/高岡       1 313.7402 194.1302                         06:45
2026083103           1      5     2          KVC/高岡       2 313.7402 194.1301                   10:51/22:41
2026083104           1      8     3       KVC/元町/高岡       3 346.5000 168.3904       06:45/10:51/14:40/17:18
2026083105           1      3     2          KVC/高岡       1 313.7400 194.1301                   14:40/18:46
2026083106           1      3     1             KVC       1 313.7402 194.1302                   10:51/14:40
2026083107           1      1     1             KVC       1 313.7402 313.7402                         14:40
2026083108           1      1     1             KVC       1 313.7402 313.7402                         14:40
2026090101           1      1     1              高岡       1 313.7401 313.7401                         22:59
2026090102           1      1     1              高岡       1 313.7401 313.7401                         06:45
2026090103           1      5     2           元町/高岡       2 313.7401 153.5400                   10:51/12:21
2026090104           1      2     1              高岡       1 194.1302 194.1301                         14:40
2026090105           1      1     1              高岡       1 313.7401 313.7401                         18:46
2026090201           1      2     1              高岡       1 313.7401 313.7400                         22:59
2026090202           1      2     1              高岡       1 313.7401 194.1301                         06:45
2026090203           1      2     1              高岡       1 313.7401 194.1302                         10:51
2026090204           1      3     2           元町/高岡       1 313.7401 153.5401                   14:40/17:18
2026090205           1      1     1              高岡       1 313.7401 313.7401                         18:46
2026090301           1      2     1              高岡       1 313.7401 194.1301                         22:59
